num_total_packets,sum_packets,num_incoming_packets,frac_incoming_packets,num_outgoing_packets,frac_outgoing_packets,average_outgoing_ordering,std_dev_outgoing_ordering,average_incoming_ordering,std_dev_incoming_ordering,mean_of_the_sequence,alternative_packets_per_second_sum,incoming_packets_first30,outgoing_packets_first30,transmission_time_Q1,transmission_time_Q2,transmission_time_Q3,transmission_time_Q4,num_packets_per_second,mean_packets_per_second,std_packets_per_second,med_packets_per_second
130,66560,101,0.7769230769230769,29,0.2230769230769231,36.758620689655174,27.053784453749106,72.46534653465346,36.30469635398651,4.833333333333333,25309.451475774433,17,13,2.92,4.18,4.84,5.56,23.38129496402878,3.7994615384615384,1.3096288080171086,4.18
9927,5082624,9189,0.9256572982774252,738,0.0743427017225748,3845.2466124661246,2885.4610550409275,5052.770595276962,2845.096285564643,2.4356435643564356,68180.01746390696,18,12,9.59,10.23,11.02,11.88,835.6060606060605,9.884456532688628,1.613041226718236,10.23
359,183808,285,0.7938718662952646,74,0.20612813370473537,155.90540540540542,111.1450438912703,184.99649122807017,100.73075100591097,4.352941176470588,1518.9899909107496,17,13,7.525,8.68,12.3,17.81,20.157215047725998,9.328440111420614,3.082875809739155,8.68
9948,5093376,9407,0.9456172094893446,541,0.05438279051065541,4667.994454713494,3120.4540817794777,4991.0697353034975,2855.7845632127764,1.9184397163120568,62061.26520460183,21,9,6.84,7.64,8.52,9.17,1084.8418756815704,7.58456574185766,1.0360502609232944,7.64
2508,1284096,2215,0.8831738437001595,293,0.11682615629984051,1227.269624573379,778.715376244877,1256.9697516930023,716.3742413798666,3.3295454545454546,36068.101946212126,27,3,7.4,8.08,13.09,53.59,46.79977607762642,10.352085326953748,5.565770472703893,8.08
5430,2780160,5189,0.9556169429097606,241,0.04438305709023941,2483.4398340248963,1685.4399272755895,2725.2314511466566,1560.9812761292583,1.50625,347468.6004154107,27,3,4.35,4.94,6.22,12.68,428.2334384858044,5.168863720073665,1.0663523820391538,4.94
1328,679936,1258,0.947289156626506,70,0.05271084337349398,585.4,477.9582288981209,667.845786963434,376.92593521546536,1.6666666666666667,13817.037053952,18,12,3.32,3.85,4.3,25.4,52.28346456692913,3.8325828313253014,1.3377450802338773,3.85
4463,2285056,4269,0.9565314810665472,194,0.043468518933452834,1604.1443298969073,1449.5585640860713,2259.486765050363,1273.239363057412,1.883495145631068,19378.83814536872,19,11,8.2,10.25,11.44,14.1,316.5248226950355,9.768377772798566,1.8534525341968249,10.25
4470,2288640,4147,0.9277404921700224,323,0.07225950782997763,2020.4520123839009,1157.5469445390713,2251.171690378587,1298.6740816423123,2.1533333333333333,31420.689831758355,20,10,7.29,11.53,12.57,41.87,106.75901600191068,10.158814317673379,2.7382948438802948,11.53
9971,5105152,9543,0.9570755190051148,428,0.04292448099488517,4250.128504672897,3056.7902038427465,5017.958713192917,2865.706230054829,1.5017543859649123,56144.081295736825,17,13,7.52,8.16,8.97,9.73,1024.7687564234327,7.836872931501354,1.5365556806962972,8.16
